FPS,GrayScale_Func [ms],EqualizeHist_Func [ms],Clahe_Func [ms],Face_Func [ms],Nose_Func [ms],Mouth_Func [ms],RightEye_Func [ms],REyeOpen_Func [ms],LeftEye_Func [ms],LEyeopen_Func [ms],Tracking_Func [ms],FaceFound?,NoseFound?,MouthFound?,RightEyeFound?,REyeOpenFound?,LeftEyeFound?,LEyeopenFound?
15.75,3.59753,6.01195,0,14.5168,7.70071,7.30772,5.71837,5.58604,2.52177,3.49764,6.80204,1,1,1,1,0,1,0
15.875,1.92076,0.905254,0,14.5168,8.72617,2.53783,5.34572,4.18981,2.48488,3.49764,7.94693,1,1,1,1,0,1,0
16,3.07898,0.90456,0,14.5168,12.5249,3.31278,6.949,6.36156,4.10931,3.49764,7.60266,1,1,1,1,0,1,0
16.125,3.33254,0.8152,0,14.5168,7.75455,3.04341,7.19931,5.53088,3.48324,3.49764,7.07109,1,1,1,1,0,1,0
16.25,2.95578,0.915516,0,14.5168,4.75784,3.38285,6.57091,4.22893,3.65806,3.49764,9.77884,1,1,1,1,0,1,0
16.375,4.7166,1.87318,0,14.5168,3.33798,2.76536,4.52681,3.80222,3.08521,3.49764,8.26094,1,1,1,1,0,1,0
16.5,8.3422,0.824066,0,14.5168,2.65148,2.77536,2.53594,3.80222,2.64986,3.49764,7.89027,1,1,1,1,0,1,0
16.625,1.2646,0.825597,0,14.5168,2.67089,2.71478,2.25203,3.80222,2.86181,3.49764,10.5227,1,1,1,1,0,1,0
16.75,0.768627,0.878686,0,14.5168,6.04068,3.0615,3.81435,3.80222,3.58093,3.49764,7.83279,1,1,1,1,0,1,0
16.875,3.26329,0.929621,0,14.5168,4.66555,2.64861,3.27556,3.80222,3.08415,3.49764,7.34022,1,1,1,1,0,1,0
15.1111,6.77685,0.787938,0,14.5168,3.38233,2.42849,3.11642,3.80222,3.05273,3.49764,8.06488,1,1,1,1,0,1,0
15.2222,1.36858,0.931041,0,14.5168,4.45793,3.50534,4.77697,3.52582,2.09924,3.49764,10.7581,1,1,1,1,0,1,0
15.3333,1.55154,0.908267,0,14.5168,4.79821,3.6867,5.80206,3.84272,1.84427,3.49764,9.75183,1,1,1,1,0,1,0
15.4444,1.4157,0.931222,0,14.5168,7.21663,2.74845,6.74488,4.44217,2.04468,3.49764,9.82079,1,1,1,1,0,1,0
15.5556,7.32234,0.933219,0,14.5168,7.64225,2.9685,5.98933,5.19525,2.13523,3.49764,7.35235,1,1,1,1,0,1,0
15.6667,1.24542,0.92012,0,14.5168,7.96907,2.98179,6.47447,4.76823,2.0498,3.49764,11.9314,1,1,1,1,0,1,0
15.7778,7.45182,0.931778,0,14.5168,7.09375,2.35269,5.18231,4.07919,2.19827,3.49764,7.71417,1,1,1,1,0,1,0
15.8889,1.20059,0.975515,0,14.5168,6.0966,2.20512,4.7687,3.62776,2.11792,3.49764,7.73121,1,1,1,1,0,1,0
16,0.78795,0.926325,0,14.5168,5.35674,2.1211,4.84398,3.24959,2.10125,3.49764,8.6617,1,1,1,1,0,1,0
16.1111,2.30583,1.02779,0,14.5168,4.87594,1.96018,3.58235,2.82614,1.89925,3.49764,7.89861,1,1,1,1,0,1,0
16.2222,1.82494,1.53245,0,14.5168,4.48201,1.93475,2.77642,2.82614,1.88554,3.49764,7.8136,1,1,1,1,0,1,0
16.3333,1.14081,1.0218,0,14.5168,4.89799,1.73656,3.70159,2.82614,2.04048,3.49764,8.53893,1,1,1,1,0,1,0
16.4444,5.43087,0.939167,0,14.5168,4.8498,1.71884,2.10516,2.82614,1.9184,3.49764,7.63911,1,1,1,1,0,1,0
16.5556,1.40736,0.980334,0,14.5168,4.95167,2.07977,2.37532,2.82614,1.83006,3.49764,10.2192,1,1,1,1,0,1,0
16.6667,1.67066,0.945384,0,14.5168,5.087,1.77136,2.2726,2.82614,1.788,3.49764,7.00886,1,1,1,1,0,1,0
16.7778,1.14045,0.930593,0,14.5168,5.47974,2.1546,2.4575,2.82614,1.74483,3.49764,11.5023,1,1,1,1,0,1,0
16.8889,2.75254,1.69422,0,14.5168,5.56736,1.59601,2.25201,2.82614,1.73284,3.49764,7.09756,1,1,1,1,0,1,0
17,1.28663,5.86339,0,14.5168,6.04198,1.55573,2.81048,2.82614,1.69122,3.49764,7.30726,1,1,1,1,0,1,0
17.1111,1.14069,0.928526,0,14.5168,6.05264,1.55391,2.36524,2.82614,1.61716,3.49764,11.6726,1,1,1,1,0,1,0
17.2222,0.808858,0.928902,0,14.5168,6.19151,1.50342,2.27002,2.82614,1.63264,3.49764,7.60812,1,1,1,1,0,1,0
17.3333,1.41299,1.11465,0,14.5168,6.06264,2.23121,2.25912,2.82614,1.62067,3.49764,10.3463,1,1,1,1,0,1,0
15.7,1.19437,0.932527,0,14.5168,5.83881,1.5283,2.28452,2.82614,1.64727,3.49764,7.75864,1,1,1,1,0,1,0
15.8,1.40799,1.11484,0,14.5168,6.00006,1.53834,2.40315,2.82614,2.256,3.49764,10.7833,1,1,1,1,0,1,0
15.9,1.13768,0.931514,0,14.5168,6.26351,1.3708,2.82488,2.82614,1.80348,3.49764,11.9937,1,1,1,1,0,1,0
16,1.80028,0.941764,0,14.5168,6.59771,1.21712,2.84521,2.82614,1.65263,3.49764,8.50936,1,1,1,1,0,1,0
16.1,1.15106,0.97619,0,14.5168,7.15795,1.18606,2.66694,2.82614,2.37347,3.49764,10.6853,1,1,1,1,0,1,0
16.2,1.19705,0.935541,0,14.5168,7.81721,1.20258,4.0565,2.82614,1.73311,3.49764,8.0326,1,1,1,1,0,1,0
16.3,0.800498,0.931939,0,14.5168,8.22918,1.15945,2.36659,2.82614,1.68474,3.49764,8.72462,1,1,1,1,0,1,0
16.4,3.148,0.945646,0,14.5168,8.608,1.07005,2.35019,2.82614,2.3768,3.49764,9.4764,1,1,1,1,0,1,0
16.5,1.17411,0.9797,0,14.5168,8.85723,1.36386,2.71765,2.82614,1.90932,3.49764,12.0093,1,1,1,1,0,1,0
16.6,4.84206,1.1445,0,14.5168,8.88937,1.39389,2.54269,2.82614,1.82051,3.49764,10.5217,1,1,1,1,0,1,0
16.7,1.22237,0.926246,0,14.5168,7.54105,1.18055,5.16405,2.82614,1.90523,3.49764,8.02635,1,1,1,1,0,1,0
16.8,4.48291,0.930587,0,14.5168,6.14632,1.22838,2.5862,2.82614,1.94392,3.49764,8.31798,1,1,1,1,0,1,0
16.9,1.21226,4.54424,0,14.5168,5.1375,1.64384,3.2253,2.82614,2.05524,3.49764,8.02388,1,1,1,1,0,1,0
17,1.55157,1.09086,0,14.5168,4.93432,2.00302,2.76579,2.82614,1.99274,3.49764,12.0042,1,1,1,1,0,1,0
17.1,1.39149,0.982851,0,14.5168,4.4544,1.83633,2.75358,2.82614,2.11635,3.49764,8.13138,1,1,1,1,0,1,0
17.2,1.144,0.955355,0,9.28411,4.4544,1.83633,2.75358,2.82614,2.11635,3.49764,8.13138,1,1,1,1,0,1,0
17.3,1.14467,0.907976,0,9.68978,4.4544,1.83633,2.75358,2.82614,2.11635,3.49764,8.13138,1,1,1,1,0,1,0
17.4,1.22755,0.911006,0,5.22505,4.4544,1.83633,2.75358,2.82614,2.11635,3.49764,8.13138,1,1,1,1,0,1,0
17.5,0.884237,0.90895,0,5.47373,4.4544,1.83633,2.75358,2.82614,2.11635,3.49764,8.13138,1,1,1,1,0,1,0
17.6,1.28676,1.08451,0,9.76098,4.9156,6.62714,6.89171,3.65392,1.95219,3.49764,8.13138,1,1,1,1,0,1,0
17.7,2.02922,0.906987,0,9.76098,11.378,6.07408,5.4679,3.26193,3.72092,3.78663,7.60245,1,1,1,1,0,1,0
17.8,2.22172,1.08692,0,9.76098,10.0375,5.93959,5.97067,3.29559,4.06992,3.55104,7.10007,1,1,1,1,0,1,0
